"gene_id","module","deg_status","direction","log2_fold_change","adjusted_p_value","level3b"
"FA_G021","Circadian rhythm",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G022","Plant hormone signal transduction",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G023","MAPK signaling",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G024","Information exchange",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G025","Protein processing in endoplasmic reticulum",FALSE,"Not significant",0.08,0.61,FALSE
"FA_G026","RNA transport",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G027","RNA degradation",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G028","SNARE interactions",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G029","Autophagy",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G030","Sulfur relay system",FALSE,"Not significant",0.08,0.61,FALSE
"FA_G031","Circadian rhythm",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G032","Plant hormone signal transduction",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G033","MAPK signaling",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G034","Information exchange",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G035","Protein processing in endoplasmic reticulum",FALSE,"Not significant",0.08,0.61,FALSE
"FA_G036","RNA transport",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G037","RNA degradation",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G038","SNARE interactions",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G039","Autophagy",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G040","Sulfur relay system",FALSE,"Not significant",0.08,0.61,FALSE
"FA_G041","Circadian rhythm",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G042","Plant hormone signal transduction",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G043","MAPK signaling",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G044","Information exchange",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G045","Protein processing in endoplasmic reticulum",FALSE,"Not significant",0.08,0.61,FALSE
"FA_G046","RNA transport",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G047","RNA degradation",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G048","SNARE interactions",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G049","Autophagy",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G050","Sulfur relay system",FALSE,"Not significant",0.08,0.61,FALSE
"FA_G051","Circadian rhythm",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G052","Plant hormone signal transduction",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G053","MAPK signaling",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G054","Information exchange",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G055","Protein processing in endoplasmic reticulum",FALSE,"Not significant",0.08,0.61,FALSE
"FA_G056","RNA transport",FALSE,"Not significant",-0.12,0.73,FALSE
"FA_G057","RNA degradation",FALSE,"Not significant",0.21,0.82,FALSE
"FA_G058","SNARE interactions",FALSE,"Not significant",-0.18,0.55,FALSE
"FA_G059","Autophagy",FALSE,"Not significant",0.05,0.91,FALSE
"FA_G060","Sulfur relay system",FALSE,"Not significant",0.08,0.61,FALSE
