"gene_id","log2_fold_change","adjusted_p_value","base_mean","standard_error","statistic","p_value","deg_status","direction"
"FA_G044",0.05,0.91,262.8,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G045",0.08,0.61,266.5,0.35,0.2286,0.488,FALSE,"Not significant"
"FA_G046",-0.12,0.73,270.2,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G047",0.21,0.82,273.9,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G048",-0.18,0.55,277.6,0.35,-0.5143,0.44,FALSE,"Not significant"
"FA_G049",0.05,0.91,281.3,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G050",0.08,0.61,285,0.35,0.2286,0.488,FALSE,"Not significant"
"FA_G051",-0.12,0.73,288.7,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G052",0.21,0.82,292.4,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G053",-0.18,0.55,296.1,0.35,-0.5143,0.44,FALSE,"Not significant"
"FA_G054",0.05,0.91,299.8,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G055",0.08,0.61,303.5,0.35,0.2286,0.488,FALSE,"Not significant"
"FA_G056",-0.12,0.73,307.2,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G057",0.21,0.82,310.9,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G058",-0.18,0.55,314.6,0.35,-0.5143,0.44,FALSE,"Not significant"
"FA_G059",0.05,0.91,318.3,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G060",0.08,0.61,322,0.35,0.2286,0.488,FALSE,"Not significant"
